,Annual Return,Total Risk,Abs. Loss Rate
0,14.0075,33.75,15.8575
1,10.75,33.75,16.0975
2,13.879999999999999,36.25,19.135
3,14.2025,38.75,11.58
4,8.4175,27.5,11.385
5,10.705,43.75,8.815000000000001
6,10.07,26.25,21.47
7,14.15,35.0,18.3325
8,10.7725,32.5,20.287499999999998
9,10.83,30.0,16.73
10,11.42,32.5,17.722499999999997
11,12.004999999999999,31.25,18.7
12,10.182500000000001,30.0,15.815
13,8.7425,35.0,14.004999999999999
14,9.9975,30.0,16.255
15,10.629999999999999,33.75,10.855
16,10.475,31.25,13.805
17,9.9775,32.5,17.3925
18,11.129999999999999,36.25,15.72
19,12.0225,38.75,11.865
20,8.74,37.5,11.0475
21,11.302500000000002,30.0,21.1625
22,10.0125,27.5,20.055
23,11.9275,30.0,18.2125
24,10.8025,30.0,20.1275
25,8.96,28.75,16.43
26,11.6475,32.5,18.545
27,9.22,32.5,16.3325
28,9.192499999999999,31.25,14.34
29,9.93,32.5,14.225
30,9.697500000000002,32.5,15.405000000000001
31,9.175,26.25,19.05
32,11.575,36.25,15.549999999999999
33,10.33,32.5,20.485
34,9.945,33.75,14.405
35,10.21,35.0,17.46
36,11.285,35.0,17.494999999999997
37,9.6675,30.0,15.675
38,8.732500000000002,36.25,15.5375
39,9.767499999999998,33.75,16.0
40,11.017500000000002,41.25,10.8
41,11.0475,30.0,20.885
42,10.017499999999998,28.75,18.82
43,9.122499999999999,30.0,16.61
44,10.47,33.75,17.057499999999997
45,9.692499999999999,32.5,16.88
46,10.6475,31.25,19.695
47,9.235,32.5,18.895
48,11.465,35.0,17.2
49,10.47,28.75,19.717499999999998
50,8.3825,25.0,18.2075
51,10.5275,30.0,17.295
52,9.127500000000001,30.0,18.195
53,8.837499999999999,32.5,14.565
54,9.5975,35.0,15.797500000000003
55,9.7425,32.5,15.495
56,9.852500000000001,28.75,18.8625
57,10.3475,32.5,19.945
58,9.705,30.0,19.115000000000002
59,8.5625,27.5,17.015
60,10.1375,33.75,17.4225
61,9.355,31.25,17.86
62,9.317499999999999,28.75,19.0975
